company,job_title,location,job_type,experience_level,salary,requirment_of_the_company,facilities,role
Sia Partners,Consultant(e) Data Science,"Paris, France",Full Time,Entry-level,39000.0,"Big Data,Consulting,Linux,Machine Learning,Matlab,Perl",",,,,",data scientist
Talan,Alternance Consultant(e) Data Analyst - H/F,"Lyon, France",Full Time,Entry-level,39000.0,"AWS,Azure,Big Data,Data Analytics,ETL,GCP",",,,,",data analyst
Sia Partners,Consultant(e) Data Science - Bureau de Nantes,"Nantes, France",Full Time,Entry-level,39000.0,"Big Data,Consulting,Linux,Machine Learning,Matlab,Perl",",,,,",data scientist
Next Phase,302 - Data Analyst Specialist - CMS End Stage Renal Disease (ESRD),"Columbia, Maryland, United States",Full Time,Mid-level,56000.0,"Data Analytics,Power BI,Python,SQL,Tableau,Testing","401(k) matching,Career development,Flexible spending account,Flex vacation,Health care",data analyst
Datadog,Senior Software Engineer - Data Visualization,"Paris, France; Madrid, Spain; Lisbon, Portugal; Nantes, ",Full Time,Senior-level,62000.0,"APIs,D3,Data visualization,JavaScript,Privacy,React","Career development,Health care,Startup environment,,",other
Roblox,"Principal Software Engineer, Data Engineering","San Mateo, CA, United States",Full Time,Senior-level,283000.0,"Airflow,Architecture,AWS,Azure,Dagster,Data pipelines","Career development,Equity,Flex hours,Flex vacation,Health care",data engineer
Nielsen,Product Owner - Data Visualization Specialist and Quality,"Oldsmar, FL",Full Time,Senior-level,50000.0,"AWS,Business Intelligence,Consulting,Data analysis,Data quality,Data visualization","401(k) matching,Career development,Flex vacation,Health care,Salary bonus",other
Adevinta,Data Engineer Senior - DataOps / AWS / Archi Distribuée (f/m/x),"Paris, France",Full Time,Senior-level,115000.0,"Airflow,Ansible,APIs,Architecture,Athena,AWS","Flex hours,Team events,,,",data engineer
"Turnitin, LLC",Senior AI Data Engineer (USA REMOTE),"Boston, MA, United States",Full Time,Senior-level,115000.0,"APIs,Architecture,AWS,Azure,Data pipelines,Data visualization","Career development,Flex hours,Flex vacation,Health care,Parental leave",data engineer
Security Bank,Data Quality Management Specialist,"Makati, Makati, Philippines",Full Time,,50000.0,"Banking,Computer Science,Data quality,Engineering,Security,SQL",",,,,",other
CIMMYT,"Data Management System General Support Coordinator, Consultancy","Texcoco, State of Mexico, Mexico",Full Time,Mid-level,56000.0,"Computer Science,Data management,ITIL,Nonprofit,Research,Statistics","Career development,Conferences,,,",other
Nearmap,Senior Data Scientist (Deep Learning Specialist),"Barangaroo, Australia",Full Time,Senior-level,129000.0,"Architecture,CI/CD,Computer Vision,Deep Learning,Engineering,Git","Career development,Home office stipend,Snacks / Drinks,Wellness,",data scientist
Relay Graduate School of Education,"Managing Director, Data Engineering, Reporting, Visualization",Flexible within the US,Full Time,Executive-level,115000.0,"Agile,APIs,Architecture,Azure,Business Intelligence,Computer Science","Career development,Equity,Health care,Insurance,Parental leave",data engineer
Adevinta,Data Engineer - Team Data Platform (f/m/x),"Paris, France",Full Time,Senior-level,115000.0,"Airflow,Ansible,APIs,Architecture,Athena,AWS","Flex hours,Team events,,,",data engineer
ServiceNow,Staff Data Scientist - ATG,"Kirkland, Washington, United States",Full Time,Senior-level,159000.0,"BERT,Computer Science,Git,Industrial,Machine Learning,NLP","401(k) matching,Career development,Competitive pay,Equity,Flex hours",data scientist
Dun & Bradstreet,"Senior Analyst, Data Science (R-14532)",Hyderabad - India,Full Time,Senior-level,55000.0,"Data analysis,Data Analytics,Hadoop,Machine Learning,NLP,Privacy","Career development,,,,",data scientist
Verisk,Data Analyst II,"Jersey City, NJ, United States",Full Time,,80000.0,"Agile,Big Data,Business Intelligence,Computer Science,Data analysis,Data Analytics","Career development,Equity,Flex vacation,Insurance,Team events",data analyst
Block,"Senior Platform Data Engineer, People Analyst","Toronto or Vancouver, Canada, United States",Full Time,Senior-level,115000.0,"APIs,Architecture,AWS,Banking,Blockchain,Crypto","Career development,Equity,Flex vacation,Health care,Insurance",data engineer
YouGov,Data Analyst,"Navi Mumbai, India",Full Time,Entry-level,48000.0,"Excel,Market research,Privacy,Research,Statistics,","Career development,Health care,Insurance,Medical leave,Parental leave",data analyst
Publicis Groupe,Data Scientist (MMM),"London, United Kingdom",Full Time,Entry-level,40000.0,"Data Analytics,Econometrics,Excel,Python,R,Spark","Career development,Team events,,,",data scientist
Amazon.com,"Support Ops Manager I, ML Data Operations, FBA Support Operations","Bengaluru, Karnataka, IND",Full Time,,50000.0,"CX,DataOps,Machine Learning,,,","Career development,Team events,,,",other
The Very Group,Lead Data Developer,"Liverpool, England, United Kingdom",Full Time,Mid-level,51000.0,"Data warehouse,SAS,SQL,Teaching,Testing,","Career development,Equity,Flex hours,,",data engineer
"Turnitin, LLC",AI Data Engineering and Data Science Manager (USA REMOTE),"Boston, MA, United States",Full Time,Executive-level,200000.0,"APIs,Architecture,AWS,Azure,Data pipelines,Data visualization","Career development,Flex hours,Flex vacation,Health care,Parental leave",data scientist
Celonis,Consultant (German Speaking) - Data Analyst,"Madrid, Spain",Full Time,,56000.0,"Agile,Big Data,Computer Science,Consulting,CX,Data Analytics","Career development,Equity,Startup environment,Team events,Transparency",data analyst
Verisk,Data Engineer,"Jersey City, NJ, United States",Full Time,Senior-level,115000.0,"Architecture,Athena,AWS,Big Data,Computer Science,Data Analytics","Career development,Equity,Insurance,Team events,",data engineer
Scale AI,"Data Scientist, Generative AI","San Francisco, CA",Full Time,Senior-level,148000.0,"Economics,Engineering,LLMs,Machine Learning,NLP,Python","Career development,Equity,Health care,,",data scientist
WAES,Senior Data Engineer,"Eindhoven, Netherlands",Full Time,Senior-level,115000.0,"Agile,APIs,AWS,Azure,Computer Science,Data pipelines","Career development,Conferences,Team events,,",data engineer
ServiceNow,Data Analyst Manager,"Hyderabad, India",Full Time,Senior-level,109000.0,"Azure,Clustering,Computer Science,Data analysis,Data Analytics,Finance","Flex hours,,,,",data analyst
The Data Foundry,Data Engineer (Melbourne),"Malvern East, Australia",Full Time,Mid-level,73000.0,"Agile,Ansible,Architecture,Avro,AWS,Bitbucket","Career development,Startup environment,,,",data engineer
Addepar,Sr. Product Designer - Data Management (UK),"Remote, UK",Full Time,Senior-level,56000.0,"Agile,Architecture,Data management,Data visualization,Finance,FinTech","Career development,Flex hours,Health care,Startup environment,",other
The Bridge Social,#659 Data Engineer,"Santiago, Santiago Metropolitan Region, Chile - Remote",Full Time,Mid-level,73000.0,"Airflow,DataOps,DevOps,GCP,Google Cloud,Industrial",",,,,",data engineer
PatientPoint,Senior Data Visualization Analyst,"Cincinnati, Ohio, United States",Full Time,Senior-level,69000.0,"Agile,Computer Science,Data visualization,Engineering,JavaScript,Mathematics","Career development,Competitive pay,,,",other
Databricks,Specialist Solutions Architect - Data Engineering & Azure,United States,Full Time,Senior-level,115000.0,"APIs,Architecture,Azure,Big Data,CI/CD,Computer Science","Career development,Flex hours,Flex vacation,Health care,Insurance",data engineer
Metiora,Data Scientist Intern,"Madrid, Spain",Full Time,Entry-level,,"Deep Learning,Machine Learning,Matplotlib,MongoDB,NumPy,Pandas",",,,,",data scientist
Boohoo Group,People Data Analyst,"Manchester, England, United Kingdom",Full Time,Mid-level,51000.0,"Agile,Data management,Data quality,E-commerce,Excel,Power BI","Career development,Health care,,,",data analyst
Previse,Data Scientist,"London, England, United Kingdom - Remote",Full Time,Mid-level,60000.0,"Agile,Computer Science,Data analysis,Data pipelines,EDA,Engineering","Career development,Competitive pay,Equity,Flex hours,",data scientist
3Pillar Global,Senior/ Lead Data analytics,Global,Full Time,Senior-level,62000.0,"Agile,Azure,Data Analytics,Databricks,Engineering,Excel","Career development,Competitive pay,Health care,Team events,",other
Metyis,Data Product Owner,"Porto, Porto, Portugal",Full Time,Mid-level,51000.0,"Agile,Azure,Computer Science,Data Analytics,DevOps,Engineering",",,,,",other
"Flagship Pioneering, Inc.",Head of Health Data Science,"Cambridge, MA USA",Full Time,Executive-level,73000.0,"AWS,BERT,Computer Science,Computer Vision,Data management,Deep Learning","Career development,Insurance,Startup environment,,",data scientist
Roblox,Senior Data Scientist - Discovery Experiences,"San Mateo, CA, United States",Full Time,Senior-level,295000.0,"Airflow,Big Data,Causal inference,Computer Science,Deep Learning,Economics","Career development,Equity,Flex hours,Flex vacation,Health care",data scientist
NBCUniversal,Data Engineer - NBC Sports Next,"Orlando, Florida, United States",Full Time,Senior-level,115000.0,"Agile,Airflow,AWS,DataOps,Data pipelines,Data warehouse","Fitness / gym,Team events,,,",data engineer
Dynatrace,Senior Researcher (PostDoc) for Big Data Processing (m/f/x),"Linz, Vienna, Hagenberg, Austria",Full Time,Senior-level,,"Architecture,Big Data,Computer Science,Data analysis,Distributed Systems,Industrial","Career development,Conferences,Equity,Flex vacation,Relocation support",big data engineer
Roblox,Senior Data Scientist - Creator Success,"San Mateo, CA, United States",Full Time,Senior-level,310000.0,"A/B testing,Airflow,Big Data,Causal inference,Computer Science,Data analysis","Career development,Equity,Flex hours,Flex vacation,Health care",data scientist
DoubleVerify,Jr. CRM Data Quality Specialist,"Berlin, Germany",Full Time,Entry-level,39000.0,"Data governance,Data quality,Finance,,,","Career development,,,,",other
Publicis Groupe,Senior Data Engineer,"Ciudad de México, Mexico",Full Time,Senior-level,115000.0,"Azure,BigQuery,Bigtable,Computer Science,Databricks,Data pipelines",",,,,",data engineer
AUTO1 Group,Head of Data Science (f/m/x),"Berlin, Germany",Full Time,Executive-level,102000.0,"AWS,Engineering,Linux,Machine Learning,ML models,MLOps","Career development,Team events,,,",data scientist
NielsenIQ,Data Analyst and BI Developer,"Remote, OR, United States",Full Time,Senior-level,62000.0,"Big Data,Business Intelligence,Data analysis,Data visualization,Economics,Engineering","Startup environment,,,,",data analyst
Publicis Groupe,Data Engineer,"Bengaluru, India",Full Time,,,",,,,,",",,,,",data engineer
Enroute,Data Engineer Databricks,"Monterrey, Nuevo Leon, Mexico - Remote",Full Time,Mid-level,73000.0,"Agile,AWS,Azure,Databricks,Engineering,ETL","Flex hours,Insurance,Medical leave,Parental leave,",data engineer
Prezi,Senior Data Analyst,US Remote,Full Time,Senior-level,153000.0,"A/B testing,Computer Science,Data analysis,Data pipelines,Data visualization,Engineering",",,,,",data analyst
"Demandbase, Inc.",Senior Software Engineer (Data Engineering),India - Remote,Full Time,Senior-level,115000.0,"Agile,Architecture,Big Data,Clustering,Computer Science,Data analysis","Career development,,,,",data engineer
Publicis Groupe,HRIS & Data Analyst Specialist,"Milano, Italy",Full Time,Entry-level,39000.0,"Consulting,Data Analytics,Economics,Excel,,","Wellness,,,,",data analyst
Atlassian,"Group Manager, Technical Data Science","Mountain View, United States",Full Time,Executive-level,154000.0,"Agile,AWS,Business Intelligence,CI/CD,Data quality,Engineering","Career development,Equity,Travel,,",data scientist
AUTO1 Group,Expert Data Scientist (f/m/x),"Berlin, Germany",Full Time,Senior-level,129000.0,"AWS,Azure,Engineering,GCP,Google Cloud,Machine Learning","Career development,Flex hours,Flex vacation,Team events,",data scientist
NBCUniversal,Sr. Data Engineer,"New York, NEW YORK, United States",Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,Big Data,Computer Science,Data Analytics","Flex hours,Health care,Insurance,Medical leave,",data engineer
Clear Street Markets,"Data Engineer, Clearing and Custody",New York,Full Time,Senior-level,150000.0,"APIs,Docker,Engineering,Finance,JSON,Kafka","Competitive pay,Equity,Health care,Medical leave,Parental leave",data engineer
Metiora,Data Analyst Intern,"Madrid, Spain",Full Time,Entry-level,,"Matplotlib,MongoDB,NumPy,Pandas,Power BI,Python",",,,,",data analyst
Kpler,Senior/Staff Data Engineer,Athens,Full Time,Senior-level,115000.0,"Ansible,AWS,Data pipelines,DevOps,Elasticsearch,Engineering","Competitive pay,Flex vacation,Gear,Medical leave,Parental leave",data engineer
Wunderman Thompson Commerce,Internship - Data Analyst,"Senningerberg, Luxembourg, Luxembourg",Internship,Entry-level,,"BigQuery,Business Analytics,Consulting,Data analysis,Data Analytics,E-commerce","Career development,Startup environment,,,",data analyst
Amazon.com,"Data Scientist, IPC - Specialized Selection","New York City, USA",Full Time,Senior-level,86000.0,"Big Data,Business Analytics,Causal inference,Computer Science,Economics,Engineering","Career development,Equity,,,",data scientist
Remitly,Partner Data Specialist,"Manila, Manila, Philippines",Full Time,Entry-level,70000.0,"Banking,Excel,Finance,,,","Startup environment,,,,",other
Civis Analytics,Lead Applied Data Scientist (Experience with Media Mix Modeling),Remote,Full Time,Senior-level,,"Causal inference,Computer Science,Consulting,Data visualization,Economics,Engineering","401(k) matching,Career development,Competitive pay,Flex hours,Flex vacation",data scientist
HSO,Azure Data Engineer (SQL/Python),"Skopje, Greater Skopje, North Macedonia",Full Time,Mid-level,51000.0,"Architecture,Azure,Business Intelligence,Computer Science,Databricks,Data pipelines","Career development,Cell phone stipend,Competitive pay,Gear,Health care",data engineer
Publicis Groupe,Data Engineer,"New York City, United States",Full Time,Senior-level,115000.0,"Agile,APIs,Architecture,AWS,CI/CD,Data analysis","Career development,Startup environment,,,",data engineer
Publicis Groupe,"Data Engineer, Creative Media Operations","Chicago, IL, United States",Full Time,Executive-level,200000.0,"Architecture,AWS,Content creation,Engineering,JSON,Redshift",",,,,",data engineer
Talan,Talan Consulting  Consultant Senior/Manager  Data Strategy (H/F),"Paris, France",Full Time,Senior-level,62000.0,"Architecture,Consulting,Data governance,Data management,Data strategy,Machine Learning",",,,,",other
6point6,Enterprise Data Architect - 6 month Contract,"London, United Kingdom",Full Time,Senior-level,135000.0,"APIs,Architecture,JSON,Model design,Security,SQL","Competitive pay,Equity,Flex vacation,Health care,Salary bonus",data architect
SAIT,Adjunct Instructors - Data Science Program - 2023/2024,"Calgary, AB",Full Time,Entry-level,44000.0,"Architecture,Classification,Data analysis,Data Analytics,Python,Teaching","Team events,,,,",data scientist
Sigma Defense,Senior SMWDC Data Analyst Team Lead,"San Diego, California, United States",Full Time,Senior-level,110000.0,"Data Analytics,Excel,Security,,,","Career development,Competitive pay,Flex vacation,Health care,Insurance",data analyst
Copper.co,Data Analyst Engineer,London,Full Time,,50000.0,"Agile,Airflow,Architecture,Avro,BigQuery,Blockchain","Career development,Health care,Insurance,Medical leave,Startup environment",data analyst
Snowflake Inc.,Senior Data Scientist,"Warsaw, Poland",Full Time,Senior-level,129000.0,"Airflow,Data quality,Excel,Machine Learning,ML models,Pandas",",,,,",data scientist
Stockbit,Data Analyst,"Jakarta, Jakarta, Indonesia",Full Time,Mid-level,65000.0,"Banking,Computer Science,Consulting,Data analysis,Data visualization,E-commerce","Health care,,,,",data analyst
Publicis Groupe,Data Analyst,"New York City, United States",Full Time,Senior-level,70000.0,"Big Data,Computer Science,Data Analytics,Databricks,Economics,Finance","Career development,Competitive pay,Flex hours,Flex vacation,Health care",data analyst
GoodRx,Senior Data Engineer I,"San Francisco, CA / New York City",Full Time,Senior-level,131000.0,"Airflow,AWS,Big Data,Computer Science,Data analysis,Databricks","401(k) matching,Career development,Equity,Fertility benefits,Health care",data engineer
Version 1,Data Visualisation Consultant,"Milton Keynes, United Kingdom",Full Time,,56000.0,"Agile,AWS,Azure,Business Intelligence,Consulting,DevOps","Career development,Health care,Startup environment,,",other
Agoda,"Data Analyst (Bangkok Based, Relocation Provided)",Bangkok,Full Time,Mid-level,65000.0,"A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis","Career development,,,,",data analyst
goodlord,Head of Data,"London, England, United Kingdom",Full Time,Executive-level,102000.0,"Architecture,BigQuery,Dataflow,Data strategy,Engineering,ETL","Career development,Flex hours,Flex vacation,Startup environment,Unlimited paid time off",other
Charger Logistics Inc,Operations Data Analyst (Tableau),"Monterrey, Nuevo Leon, Mexico",Full Time,Mid-level,65000.0,"Agile,Scrum,Tableau,,,","Career development,Competitive pay,Health care,Insurance,",data analyst
Visa,Financial Data Analyst,"Foster City, CA, United States",Full Time,,63000.0,"Data Analytics,Data visualization,Excel,Finance,PhD,Power BI","Equity,Health care,Insurance,Salary bonus,Wellness",data analyst
NielsenIQ,Data Analyst,"Lisbon, Portugal",Full Time,Senior-level,92000.0,"Business Intelligence,Data visualization,Econometrics,Genetics,Research,Statistics",",,,,",data analyst
Innovaccer,Lead-Data Analyst,Remote-USA,Full Time,,80000.0,"Computer Science,Data Warehousing,Elasticsearch,Engineering,JavaScript,NoSQL","Career development,Flex vacation,Health care,Pet friendly,Startup environment",data analyst
"Lakeshore Learning Materials, LLC",Product Data Management Manager (Hybrid),"Carson, CA, United States",Full Time,Executive-level,85000.0,"Data Analytics,Dataflow,Data governance,Data management,Data quality,E-commerce","Career development,Fitness / gym,Flex hours,Health care,Medical leave",other
Bosch Group,Data Scientist for Reliability Engineering (M/F/D),"Aveiro, Portugal",Full Time,,92000.0,"Azure,CI/CD,Classification,Clustering,Data Analytics,Data strategy","Career development,Flex hours,,,",data scientist
Hinge Health,Senior Data Engineer,Bengaluru,Full Time,Senior-level,115000.0,"Airflow,AWS,CI/CD,Computer Vision,Databricks,Data governance","Flex vacation,Salary bonus,,,",data engineer
PSI CRO,Salesforce Administrator/Data Specialist,"Belgrade, Serbia",Full Time,Senior-level,70000.0,"Computer Science,Data governance,Power BI,Research,,","Career development,,,,",other
Mindex,Data Engineer - Remote (Req. #515),"Rochester, New York, United States",Full Time,Mid-level,73000.0,"Architecture,Computer Science,SQL,Testing,,","401(k) matching,Career development,Flexible spending account,Flex vacation,Health care",data engineer
Digital Uncut,Data Analyst (Remote | UK),"London, England, United Kingdom - Remote",Full Time,Mid-level,65000.0,"Data Studio,Data warehouse,Data Warehousing,Engineering,ETL,Looker","Career development,Flex hours,Gear,Startup environment,Travel",data analyst
Agoda,"Senior Data Analyst (Bangkok Based, Relocation Provided)",Bangkok,Full Time,Senior-level,92000.0,"A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis","Career development,,,,",data analyst
Nielsen,"Director, Trust & Panel Data Integrity",United States,Full Time,Executive-level,66000.0,"Data Analytics,DevOps,Engineering,Genetics,Security,Statistics","401(k) matching,Career development,Flex vacation,Health care,Salary bonus",other
Allegro,Data Scientist (Data Science Hub),"Warszawa, Poznan, Wroclaw, Kraków, Gdansk, Poland",Full Time,,92000.0,"Bayesian,Big Data,BigQuery,Causal inference,Computer Science,Data analysis","Career development,Conferences,Gear,Lunch / meals,Salary bonus",data scientist
Contentsquare,Marketing Data Analyst,Barcelona Area,Full Time,Senior-level,62000.0,"Computer Science,Data analysis,Data quality,Data visualization,ELT,Engineering","Career development,Equity,Parental leave,Startup environment,Team events",data analyst
Amazon.com,"Business Intelligence Engineer, Advertising Trust Data","Seattle, Washington, USA",Full Time,Senior-level,79000.0,"AWS,Business Intelligence,Data Mining,Data visualization,Data warehouse,DynamoDB","Equity,,,,",other
Cuberg,"Senior Battery Modeling Engineer, Data","San Leandro, California, United States",Full Time,Mid-level,150000.0,"Engineering,Matlab,PhD,Physics,Python,R","Career development,Competitive pay,Equity,Flex vacation,Health care",other
Zoox,"Backend Software Engineer, Data Engineering","Foster City, CA",Full Time,Senior-level,115000.0,"Airflow,AWS,BigQuery,Business Intelligence,Databricks,Data pipelines",",,,,",data engineer
Vial,Clinical Data Manager,"San Francisco, CA",Full Time,,,"Data management,Excel,GCP,Statistics,,","Competitive pay,Equity,Flex hours,Flex vacation,Health care",data manager
GOURMEY,Data Science Intern,"Paris, Île-de-France, France",Internship,Entry-level,,"Agile,Data Analytics,Data management,Engineering,JSON,Python","Health care,Startup environment,,,",data scientist
Databricks,Delivery Solutions Architect : Big Data,India,Full Time,Senior-level,55000.0,"Architecture,Big Data,Consulting,Databricks,Data Warehousing,Engineering","Career development,Health care,Insurance,Medical leave,Parental leave",big data engineer
OKX,Sr Data Product Manager - Trading Experience,"San Jose, California, United States",Full Time,Senior-level,160000.0,"Agile,Amplitude,Blockchain,Computer Science,Crypto,Data analysis","Competitive pay,Flex hours,Flex vacation,Health care,Insurance",other
Surprise.com,"Data Scientist, Poland","Warsaw, Masovian Voivodeship, Poland",Full Time,Senior-level,129000.0,"A/B testing,Agile,CI/CD,Computer Science,Data visualization,Docker","Career development,Competitive pay,Equity,Health care,Startup environment",data scientist
Paytm,HR ( Data Analyst)  - Junior Manager,"Mumbai, Maharashtra",Full Time,Entry-level,48000.0,"Agile,Banking,Data management,Data Studio,Excel,FinTech",",,,,",data analyst
"Fastly, Inc.",Senior People Data Analyst - Workday,"New York City, NY",Full Time,Senior-level,113000.0,"Agile,APIs,Business Analytics,Business Intelligence,Computer Science,Data governance","401(k) matching,Career development,Equity,Flex vacation,Health care",data analyst
dentsu international,Data Scientist,"Culver City, CA, United States",Full Time,Senior-level,78000.0,"Causal inference,Data Analytics,E-commerce,Economics,Engineering,Machine Learning","Career development,Health care,Startup environment,,",data scientist
Jellyfish,Senior data analyst,"Paris, France",Full Time,Senior-level,92000.0,"Agile,AWS,Azure,Data analysis,Data Analytics,Data Studio","Career development,Flex hours,Salary bonus,,",data analyst
Tiger Analytics,Data Engineer,"Toronto, Ontario, Canada - Remote",Full Time,Mid-level,73000.0,"Architecture,AWS,Azure,Consulting,Consulting firm,Data pipelines","Career development,,,,",data engineer
Sportradar,Lead Data Scientist,"Ljubljana, Slovenia",Full Time,,40000.0,"Big Data,Computer Science,Data analysis,Data Analytics,Engineering,Linux","Career development,Competitive pay,,,",data scientist
NielsenIQ,Engineer (Mid- Data Engineer),"Chennai, India",Full Time,Senior-level,115000.0,"Agile,Airflow,APIs,Azure,Big Data,Business Intelligence","Career development,Wellness,,,",data engineer
Standard Bank Group,Data Scientist (Machine Learning Modelling),"Johannesburg, South Africa",Full Time,Senior-level,129000.0,"Credit risk,Data analysis,Data Analytics,Data Mining,Econometrics,Engineering","Career development,Startup environment,,,",data scientist
Magno IT Recruitment,4295 Senior Data Analyst,"Utrecht, Utrecht, Netherlands",Full Time,Senior-level,92000.0,"Agile,Business Intelligence,Scrum,Spark,,","Career development,,,,",data analyst
OKX,Senior Manager (Project & Data Management),Hong Kong,Full Time,Senior-level,55000.0,"Blockchain,Crypto,Data analysis,Data management,Finance,Research","Career development,Competitive pay,,,",other
Kin + Carta,Senior Spark Data Engineer,Colombia Remote,Full Time,Senior-level,115000.0,"Airflow,Angular,APIs,Architecture,AWS,Azure","Career development,,,,",data engineer
Clari,"Senior Software Engineer, Data Platform - Remote","Seattle, WA",Full Time,Senior-level,142000.0,"Agile,APIs,AWS,Engineering,ETL,KPIs","401(k) matching,Career development,Competitive pay,Equity,Fertility benefits",other
Tesco Bengaluru,Senior Applied Data Scientist,"Bengaluru, India",Full Time,Senior-level,50000.0,"CX,Data analysis,Engineering,Excel,Finance,GitHub","Career development,Competitive pay,Team events,,",data scientist
Raft,Senior Data Engineer,"San Antonio, TX (Local Remote)",Full Time,Senior-level,115000.0,"Airflow,Distributed Systems,Elasticsearch,Flink,Golang,Kafka","401(k) matching,Career development,Competitive pay,Flex vacation,Health care",data engineer
Boldr,Senior Data Engineer,"Calabarzon, Philippines - Remote",Full Time,Mid-level,73000.0,"Computer Science,Data management,Data Mining,Data pipelines,Data quality,Engineering","Health care,,,,",data engineer
Agriaku,Lead Data Analyst,"Jakarta, Indonesia",Full Time,Senior-level,55000.0,"A/B testing,Amplitude,Data Studio,Data visualization,Finance,Looker",",,,,",data analyst
Dashlane,Data Engineer,"Lisbon, Portugal",Full Time,Senior-level,115000.0,"Airflow,AWS,Data governance,Data quality,Engineering,ETL","Flex hours,Flex vacation,Relocation support,,",data engineer
Sand Cherry Associates,Data Architect,"Denver, Colorado, United States",Full Time,Mid-level,100000.0,"Architecture,Computer Science,Consulting,Data Analytics,Data management,Data visualization","Career development,Startup environment,,,",data architect
SIXT,(Senior) Director Data Science for Pricing / Yield Management  (m/f/d),"Lisbon, Portugal",Full Time,Executive-level,73000.0,"CX,Engineering,Machine Learning,ML models,,",",,,,",data scientist
24-7 Intouch,Data Analyst,"Hyderabad, Telangana, India",Full Time,Mid-level,65000.0,"Computer Science,Data Analytics,Data Mining,Economics,Excel,Mathematics","Career development,,,,",data analyst
Bosch Group,Big Data Engineer  Hadoop,"Cluj, Jucu, Romania",Full Time,Entry-level,30000.0,"Agile,Airflow,Big Data,Data pipelines,Data warehouse,Elasticsearch","Career development,Flex hours,Health care,Medical leave,Salary bonus",big data engineer
Adevinta,Data Analyst Coches.net,"Barcelona, Spain",Full Time,Senior-level,92000.0,"Airflow,Big Data,Classification,Clustering,Data analysis,Databricks","Career development,Competitive pay,Conferences,Fitness / gym,Gear",data analyst
Publicis Groupe,Senior Associate Data Engineering L1,"Bogotá, Colombia",Full Time,Mid-level,73000.0,"Azure,BigQuery,Bigtable,Computer Science,Databricks,Data pipelines",",,,,",data engineer
Impact,Big Data Infrastructure Engineer,Cape Town,Full Time,Senior-level,48000.0,"Ansible,Architecture,Big Data,BigQuery,GCP,Genetics","Career development,Flex hours,Flex vacation,Medical leave,Parental leave",big data engineer
CI&T,"[Job- 10566] Senior Data Visualization Analyst, Brazil",Brazil,Full Time,Senior-level,55000.0,"Architecture,Azure,CX,Data pipelines,Data visualization,Engineering","Career development,Fitness / gym,Health care,Parental leave,",other
KNOREX,Data Engineer (Hybrid),"Ho Chi Minh City, Ho Chi Minh ",Full Time,Mid-level,73000.0,"APIs,Data Analytics,Engineering,MongoDB,Node.js,Python","Career development,Gear,Health care,,",data engineer
Bosch Group,Senior Data Engineer - Data Scientist  (f/m/div.),"Wernau (Neckar), Germany",Full Time,Senior-level,115000.0,"Airflow,Architecture,Azure,Big Data,CI/CD,Computer Science","Career development,,,,",data scientist
Experian,Data Science Consultant,"Roma, Italy",Full Time,,63000.0,"Computer Science,Data Mining,Data quality,Engineering,Machine Learning,Mathematics","Career development,Equity,Flex hours,,",data scientist
SoFi,"Senior Manager, Data Engineering","Seattle, WA; San Francisco, CA; US Remote",Full Time,Senior-level,115000.0,"Airflow,Architecture,Computer Science,Data governance,Data management,DataOps","Career development,Competitive pay,Health care,Insurance,Startup environment",data engineer
Octopus Energy,Junior Data Scientist,"Manchester, UK",Full Time,Entry-level,40000.0,"Agile,AWS,Excel,Machine Learning,NumPy,Pandas","Career development,Startup environment,,,",data scientist
Bosch Group,Data Engineer  Oracle,"Cluj, Jucu, Romania",Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,Azure,Big Data,Business Intelligence","Career development,Flex hours,Health care,Medical leave,Salary bonus",data engineer
Numberly,Data Engineer,"Paris, France",Full Time,Entry-level,59000.0,"Airflow,APIs,AWS,Data Analytics,DataOps,DevOps","Career development,Lunch / meals,Yoga,,",data engineer
Allegro,Data Analyst (S&OP),"Warszawa, Poznan, Poland",Full Time,Senior-level,92000.0,"Data Studio,E-commerce,Excel,GCP,Hadoop,Power BI",",,,,",data analyst
Bosch Group,Graduate Motorsport Data Analyse and Engineer,"Nuneaton, United Kingdom",Full Time,Entry-level,39000.0,"Agile,Computer Science,Data analysis,Data Analytics,Economics,Engineering","Career development,Competitive pay,Flex hours,Health care,Salary bonus",data analyst
Veeva Systems,Data Operations Manager - Link,Hungary - Budapest,Full Time,,56000.0,"Data governance,DataOps,Engineering,KPIs,PhD,Research","Career development,Fitness / gym,Home office stipend,Insurance,Salary bonus",other
SecurityScorecard,VP of Data Science,"New York City, United States, Remote",Full Time,Executive-level,73000.0,"Architecture,AWS,Computer Science,CX,Data Analytics,Data Mining","Career development,Competitive pay,Equity,Health care,Insurance",data scientist
Standard Bank Group,"Manager, Data Science (Machine Learning)","Johannesburg, South Africa",Full Time,Entry-level,30000.0,"AWS,Azure,Credit risk,Data analysis,Data Analytics,Data Mining","Career development,Startup environment,,,",data scientist
InMobi,Data Scientist IV,San Mateo,Full Time,Executive-level,144000.0,"Agile,Big Data,Computer Science,Economics,Engineering,Genetics","401(k) matching,Career development,Competitive pay,Conferences,Equity",data scientist
